Namespace(active_connection=10, alpha=0.75, batch_size=16, block_size=3, clique_size=0, density_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_density.npy', density_th=0.6, drop_prob=0.7, epochs=1, feat_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random.lmdb', features=256, fp16=False, gamma=2, is_density=0, k_at_hop=[80, 10], knn_graph_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_feat_celeb_random/knn_index_200.npy', label_path='/workspace/data/20200811_clean/random_celeb/LEAP_random_celeb_200_3/train_label_celeb_random.npy', lambda_u=10, local_label_path='/workspace/data/hgy_17w/pseudo_hgyAv2_0.20.npy', local_rank=0, logs_dir='params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3', loss='normal', lr=0.01, lr_adjust_list=[1, 2, 3, 4], mode='sup', model_drop='gcn', momentum=0.9, print_freq=20, rand_twice=0, rand_val=0.0, ratio=0.5, resample=0.0, seed=1, weight_decay=0.0001, workers=0)
log dir:   params/ex1_baseline_sup_random_celeb/baseline_sup_random_celeb/LEAP_random_celeb_200_3
Current lr 0.01
Epoch:[0][1720/3880]	Time 0.463 (0.586)	Data 0.407 (0.493)	Loss 0.122 (0.290)	Accuracy 0.970 (0.878)	Precison 0.998 (0.891)	Recall 0.962 (0.927)
Epoch:[0][1740/3880]	Time 0.632 (0.586)	Data 0.593 (0.493)	Loss 0.225 (0.288)	Accuracy 0.898 (0.879)	Precison 0.836 (0.892)	Recall 0.962 (0.928)
Epoch:[0][1760/3880]	Time 0.418 (0.586)	Data 0.337 (0.493)	Loss 0.178 (0.287)	Accuracy 0.922 (0.880)	Precison 0.959 (0.892)	Recall 0.937 (0.928)
Epoch:[0][1780/3880]	Time 0.530 (0.586)	Data 0.442 (0.493)	Loss 0.099 (0.286)	Accuracy 0.960 (0.881)	Precison 0.966 (0.893)	Recall 0.977 (0.928)
Epoch:[0][1800/3880]	Time 0.669 (0.586)	Data 0.552 (0.493)	Loss 0.300 (0.285)	Accuracy 0.884 (0.881)	Precison 0.822 (0.893)	Recall 0.986 (0.929)
Epoch:[0][1820/3880]	Time 0.694 (0.586)	Data 0.509 (0.493)	Loss 0.130 (0.283)	Accuracy 0.969 (0.882)	Precison 0.966 (0.894)	Recall 0.980 (0.929)
Epoch:[0][1840/3880]	Time 0.592 (0.586)	Data 0.544 (0.493)	Loss 0.287 (0.282)	Accuracy 0.876 (0.883)	Precison 0.811 (0.894)	Recall 0.988 (0.930)
Epoch:[0][1860/3880]	Time 0.412 (0.586)	Data 0.370 (0.493)	Loss 0.072 (0.281)	Accuracy 0.986 (0.883)	Precison 0.988 (0.895)	Recall 0.994 (0.930)
Epoch:[0][1880/3880]	Time 0.469 (0.585)	Data 0.401 (0.492)	Loss 0.379 (0.280)	Accuracy 0.826 (0.884)	Precison 0.788 (0.895)	Recall 0.993 (0.930)
Epoch:[0][1900/3880]	Time 0.616 (0.585)	Data 0.558 (0.492)	Loss 0.129 (0.280)	Accuracy 0.945 (0.883)	Precison 0.928 (0.895)	Recall 0.990 (0.930)
